,cg17494855,cg22793988,cg25937494,cg11028316,cg27206345,cg24470119,cg25233569,cg18774318,cg26734912,cg13705616,cg04286729,cg14329675,cg17602776,cg18373961,cg05796338,cg19821940,cg01281078,cg13335447,cg02771843,cg24382680,cg18762736,cg00930706,cg07750706,cg03559831,cg00636641,cg26905327,cg02622866,cg06978273,cg00418284,cg11772224,label
TCGA.KL.8332.01A,0.2711031198530254,0.5136744461503304,0.61446538807744,0.3135151991896596,0.2583074714754862,0.6812464597291974,0.1714354951117813,0.6774413737762381,0.808840495698739,0.9961194429637412,0.7621798942553994,0.6339297013414324,0.473793279659036,0.4797077168162742,0.2119408641407005,0.0518679206986205,0.4666830780834257,0.2381020388897091,0.2283171707988118,0.4329981144701986,0.0128024824951838,0.4620649683245723,0.4839127338641811,0.0,0.3311049833154662,0.3331818531801948,0.381015944613448,0.0380711623402924,0.0330306957938711,0.6185003328373815,0
TCGA.KN.8423.01A,0.4582880096640782,0.4960276460812365,0.780947015652453,0.3060682153497369,0.1879715427122119,0.5569741656021165,0.2230333944269358,0.6962005105448341,0.7644063717198155,0.990812147938698,0.5839873991252167,0.4763983801569222,0.4655431668560308,0.6413091993189965,0.3210933903712758,0.0588012487912966,0.5420973790618258,0.3351843021065056,0.5957939257952325,0.9999999999999998,0.009727024614945,0.3088212697128993,0.7263767374515853,0.1620924487356583,0.4016763861563124,0.6113861026292396,0.1989011853561313,0.035965343886257,0.0239227755545537,0.3563279794162513,0
TCGA.KL.8327.01A,0.5243978826273095,0.38153480382848,0.3408595151632496,0.3737952475250128,0.2437501034522713,0.2954495719284276,0.1575895599444707,0.3933427965213372,0.3731356775856436,0.9942359288564544,0.2820141420916313,0.1951777578913118,0.2357533881673725,0.7096465098578297,0.0830171907490595,0.0,0.5839286836647044,0.3014456760030047,0.3235096581086758,0.673570160248232,0.0103779881798597,0.2359415015500741,0.382251190932962,0.3287478233258569,0.4667370882142789,0.2304481569047219,0.3320478862897305,0.0330202374776988,0.0,0.5461379386619312,0
TCGA.KO.8409.01A,0.3366530299513719,0.5629327076272412,0.3902340555694017,0.2906599817741155,0.3072313210208914,0.0718885315371471,0.2031035633621225,0.7666486879075642,1.0,0.9947429060007968,0.4736583921397941,0.3812698864663557,0.9364138973302388,0.3620072026497074,0.2151581771139223,0.0804915818360867,0.3307326475456202,0.3089036116483546,0.927101768358721,0.3544541390352804,0.0094907216205062,0.3954063890012131,0.4244016124371774,0.2853819519584506,1.0,0.2532094857446229,0.3868745410678693,0.0220168346114206,0.0171183472866647,0.3870583644433687,0
TCGA.KN.8430.01A,0.443761132844723,0.5087037734411797,0.6378575562893036,0.2882898458998011,0.4814071948187035,0.3848520255681615,0.1162684102659794,0.7356057965596314,0.5486754963145768,0.9964474348251434,0.4022968412189882,0.3446550602017575,0.4827294521851166,0.4543932598541897,0.5295143573707519,0.0738168064806458,0.2603821415851335,0.1883655235683837,0.2434136007161111,0.3585250067714081,0.0053475069063708,0.2607244911713169,0.6732398902936398,0.6532772976678998,0.2783274145294979,0.1698665054228638,0.20906194272527,0.02484602440783,0.0049499671383181,0.4102342799548426,0
TCGA.KL.8329.01A,0.8041632994326269,0.2740124905183854,0.5492777296012425,0.4922042649095506,1.0,0.5026319469297114,0.5858179352199087,0.5952453429929678,0.3390126026443743,0.992281459235614,0.5413934455472391,0.5648942853527139,0.5709223752235675,1.0,0.4956130256035809,0.0255460544760177,0.4649619743981898,0.2427754526360973,0.3635463490956288,0.5014377360945448,0.0197209564478865,0.3378871815608573,0.983330885940438,0.2386982325709328,0.6591858448244381,0.4518123505502013,0.4393783436483791,0.0334640307491578,0.0628143818707363,0.8827944984797991,0
TCGA.KL.8338.01A,0.1733703752380366,0.2134900173485383,0.4405004912633397,0.2326287890561207,0.1730424724933112,0.2333849215472041,0.2501429239644508,0.8553188027747434,0.0940989160121266,0.9948778988653328,0.4898465204889082,0.0513161225006331,0.6181093672702762,0.3558865068052639,0.1547931316370101,0.0287128649025099,0.2065492028241604,0.1463951697299633,0.5208538266928551,0.5029899713394586,0.0025979253578129,0.0503828009165656,0.315347363999956,0.4878798941039182,0.3626452913207314,0.0,0.3786898143291721,0.0359658976280348,0.0140730609654113,0.7908838032357217,0
TCGA.KO.8406.01A,0.1227304376518749,0.3232546587316147,0.495077067580121,0.2304824105551053,0.401151463708072,0.3506426406213339,0.2602330740768803,0.7164401364654884,0.5969142561411478,0.9509729331324112,0.3605894440916455,0.7681125031637561,0.1623602194086404,0.8458547109174916,0.1604936189463324,0.0435160838533815,0.600496532651736,0.1665161846805302,0.3336871418498606,0.5787198663612658,0.0085024504599196,0.2453733656827066,0.3970350229818091,0.3465573661079955,0.6068223245112832,0.1182422846078755,0.2142603325291093,0.0392376501586193,0.0056367117829563,0.6665879264544157,0
TCGA.KL.8346.01A,0.4510252703341322,0.4988804452898772,0.5765515991291146,1.0,0.3943214358623506,0.4108673377084562,0.1575244379628591,0.8848130544397257,0.7890647511280005,0.9957341545251436,0.3551898336770149,0.1898084119752685,0.8465389863494777,0.6227711373870537,0.406178074255147,0.1017051890797395,0.5717762041440575,0.156800615806176,0.1634379389988047,0.4788187036324223,0.0156239999643412,0.3718466100552635,0.5351753517535176,0.5687224818838017,0.2363448549641131,0.4470477254016601,0.3847332948704498,0.0351029218307958,0.0088390720915652,0.3743170573419336,0
TCGA.KL.8323.01A,0.3094742081523882,0.3058063422479284,0.7232405666109831,0.557303558184109,0.5571211897258026,0.3352364881145653,0.1290210475496913,0.704576102616093,0.0,0.9933140393466064,0.6972115391476212,0.2825573091803164,0.4066192259811143,0.2950407853930705,0.3531038191082398,0.0514856188484331,0.3898755525758941,0.0771282711677321,0.5021854784459348,0.8836242146605306,0.0107566061455882,0.4366127510446151,0.5435628040490932,0.1041716806856953,0.521839273088079,0.1868213343642598,0.441671693066191,0.0330035636975012,0.01066139204575,0.6828996709187771,0
TCGA.KL.8326.01A,0.2887681655868215,0.5939519369315722,0.6570868598900474,0.2115561093707236,0.2073073166963688,0.3753307215318777,0.2371761355488999,0.2441881119079314,0.5920316213037009,0.983825158519052,0.8678228171446103,0.3150795910619373,0.6219919651642574,0.0833950457056471,0.4773508309655709,0.1046871435112014,0.5307012214284217,0.8336032326596744,0.5364804294940251,0.1356651859970243,0.004946964800003,0.4293610998786898,0.3268501106063692,0.23633169985863,0.2080414052083107,0.1854806273216712,0.2493699517465645,0.2221297610179693,0.0288503690820531,0.1578934628234209,0
TCGA.KO.8414.01A,0.2694714677598409,0.3827782766689518,0.2903077965654821,0.1776032783651719,0.2612535017686344,0.349378610878714,0.4045208431042395,0.5275729475710393,0.8109230451098508,0.9976630801611044,0.4874330177168582,0.5388079871280327,0.5431886011883731,0.4292904240305217,0.301064302607978,0.0608320546436778,0.3220747522574427,0.5463649926453441,1.0,0.1348575004443055,0.0089219522560036,0.249474322684998,0.5492044394128155,0.0092375927045771,0.3228364722414318,0.0668808208357719,0.3821475401237806,0.0911422665376981,0.0064865149686007,0.3815902323184053,0
TCGA.KM.8441.01A,0.274211927418746,0.6148978560554121,0.5885963051229395,0.3218158456134294,0.057139048854736,0.8848192397967123,0.2159876969548584,0.1476785224791821,0.9469452740366092,0.9973366847987568,0.5043364562001871,0.4266494467946631,0.5054531419034625,0.3759511027143234,0.4542740757789805,0.1302943048692972,0.5225712849091786,0.2198820188953733,0.4135488865829548,0.3463451923524683,0.006130676451658,0.4836163903491037,0.4667699308572031,0.1621930661931412,0.3643422743560904,0.1518369571011436,0.2274716773313752,0.0115100150660832,0.0226469831140337,0.2494648517465094,0
TCGA.KN.8425.01A,0.2740860930670865,0.4664653935822209,0.6170545621576864,0.1863740033042757,0.5872769823124926,0.4340559633368175,0.3075091280354514,0.6940900075960799,0.5190361739849689,0.9872785633637172,0.5226669473203518,0.3314068319051235,0.4157456686364156,0.4663499796913994,0.3146518198701566,0.0504704462245619,0.372929542645241,0.2363277231389654,0.558269887152,0.3598531271523093,0.0050607655922707,0.3349285618007818,0.2228895973170264,0.2973109352468517,0.0,0.0472295015854264,0.4709581191650056,0.0266007090478884,0.012919793488901,0.0,0
TCGA.KN.8435.01A,0.5362011448129682,0.6424162640668536,0.5263273894245524,0.1974979412911419,0.2669074406358198,0.2956731471891534,0.3764808206371559,0.6378344487303553,0.7012134833492092,0.9951888614034824,0.5890248949332497,0.6238260205372963,0.2031693567238746,0.6850404690910132,0.2311137875204367,0.0486571992965645,0.9084557206008674,0.3636120840665798,0.3841863789839901,0.4081379333679478,0.0161850489602529,0.6175111200970482,0.6544865448654487,0.3170799903730834,0.3601774540779121,0.2733852422076114,0.4388944980593727,0.0394237073959536,0.0124052043660017,0.6999321804708971,0
TCGA.KN.8432.01A,0.4242672945334762,0.9999999999999998,0.5712177357394594,0.0,0.2036991918671558,0.1578504542211878,0.4619659449606543,0.7228352524739183,0.5784334663317412,0.9975007694238504,0.6260569108591569,0.3973700148244565,0.338352478132526,0.3514961840416071,0.4235999777774251,0.0589931673907883,0.4536213362385035,0.3593525966413066,0.4637609017474109,0.3122335147820758,0.0069847368952768,0.3637343307723415,0.4422423171600136,0.3121421507259625,0.3190211731337962,0.4519340372135046,0.3381470943039963,1.0,0.0126456762023333,0.7026437095821692,0
TCGA.KO.8410.01A,0.3574918976659127,0.5264621534717997,0.5977335972629316,0.2825755714673998,0.2958682687418488,0.1837504236474685,0.0864913841739809,0.9327739364676948,0.4173449359471983,0.9930444083951016,0.968187429093322,0.6373375185305712,0.833781102370766,0.528490531271981,0.2679873886887094,0.0790357641077827,0.2069734554063396,0.1020840746487474,0.4115264551949924,0.6719254885224413,0.0185182424525452,0.3670258794985848,0.2681095232004953,0.3346326805501904,0.324498363842937,0.2420439267317061,0.0,0.044780297719882,0.0554946034705799,0.4763042738823861,0
TCGA.KL.8340.01A,0.4436590672039329,0.4758820986044993,0.4442452155894232,0.1431474633482132,0.1487584130290911,0.2323713276973407,0.2591522996512843,0.6405628498258698,0.626961500520355,0.9957401857437956,0.4078873199237953,0.4097222222222221,0.2928202925810959,0.4631134063371869,0.3473676169463007,0.101920598515809,0.5527131214514676,0.3595155851732076,0.545600266922071,0.1658800554688646,0.0165141030127074,0.3808761288583366,0.6929785087324558,0.3946327917855705,0.5746884641824082,0.5367054897376683,0.4002432340291619,0.051779962952214,0.018962906113582,0.3039721376506898,0
TCGA.KN.8431.01A,0.4309043575037821,0.4488346867768089,0.4149146314083087,0.3324546625724707,0.7596509716382513,0.1811172916898735,0.3758621618118436,0.4978967448061182,0.4698425827680617,0.9924359648663776,0.4973278439375235,0.3558061702281521,0.7566184105377036,0.1567186322496555,0.1850654375466276,0.0772430908536508,0.7157434371791915,0.4821596141851662,0.3200835103275734,0.438844285864526,0.0059083426324319,0.3770204879363796,0.8556306615697737,0.2416088074151527,0.4702076563192852,0.1412109115246423,0.3267380415399139,0.0239215832732574,0.0232619689551345,0.3338494573394295,0
TCGA.KN.8437.01A,0.74638715594791,0.5609607463841118,0.9999999999999998,0.220299569755938,0.0119082638981047,0.2791649187505383,0.2126739899674576,0.5835312403115367,0.5686772364806609,0.9965354196619504,0.5552198017823888,0.0,0.3506493647695829,0.4386030092877329,0.4818231241765742,0.0825689087569847,0.3923456453876934,0.3886090381175308,0.4770573353359688,0.320491057468109,0.0,0.2659158916295998,0.0214328459074066,0.0828066506622551,0.3241857553843092,0.1863028199538129,0.3808028689814329,0.037366987379548,0.0060460045445842,0.4547059449555835,0
TCGA.KL.8342.01A,0.614684029942983,0.0,0.2603592710764328,0.2079402654307738,0.0731117891449599,0.1413738265261381,0.0789960945596219,0.7420011289189528,0.3867496522492777,0.9906468215921176,0.226747961098545,0.4383033680442565,0.3757519747321269,0.8266968475730343,0.2124438483150525,0.0771188811360598,0.653930359724288,0.1124693488769524,0.0,0.2804674565160479,0.0046435031296177,0.0,0.2041394098151507,0.1493959413243482,0.2851904693789144,0.1069631154801049,0.6403860274834783,0.0049129201061978,0.0048594585139689,0.1574343767802628,0
TCGA.KO.8416.01A,0.3927709563131094,0.4861195600745438,0.5723897644201752,0.2227101323825713,0.3486586922994048,0.3394156864511022,0.4461688550365903,0.8210323788581042,0.5623877790621861,0.9883554906706804,0.6256609037524348,0.2235397006182886,0.4870567385525337,0.5293980169367198,0.4196524944840394,0.0672078975885505,0.7752582179296477,0.1477273185723818,0.2734628495658737,0.0490408668658295,0.0121850876047498,0.3128487666801456,0.5607166597981768,0.2180347438653689,0.6589022280225776,0.4222974118969712,0.2553144340711212,0.0296120798891876,0.0121462392550758,0.3859052237731448,0
TCGA.KL.8325.01A,0.2229728785027391,0.4239094399866103,0.6066474006298881,0.1315684893585034,0.3589022821062853,0.0554174339722215,0.4688989313107112,0.7228066941562108,0.3942990351118052,0.9965513846525,0.3742695274315191,0.9259466409950464,0.1375044169851427,0.7557352340911361,0.1619103081001285,0.0167804411302746,0.4656973455406341,0.1837082473004015,0.2622509348211288,0.0893773565852358,0.0138137867996327,0.2935746057420139,0.46025354990392,0.1819029643217575,0.1722712602447639,0.5141331521314819,0.4300246512115808,0.030171974353388,0.0032536531680565,0.3327088371976554,0
